serial,year,month,day,local pressure,sea pressure,total preci,hr1 preci,min10 preci,avg temp,max temp,min temp,avg humid,min humid,sun hours,bloom
2083,1966,9,15,1007.5,1011.7,0.0,0.0,0.0,21.8,25.4,18.9,54,38,7.8,0
2084,1966,9,16,1010.8,1015.0,0.0,0.0,0.0,21.3,24.5,18.4,54,45,6.0,0
2085,1966,9,17,1012.6,1016.8,7.0,2.5,1.0,18.3,20.5,16.1,80,65,0.0,0
2086,1966,9,18,1010.5,1014.8,46.5,4.0,1.0,16.8,17.7,15.6,91,88,0.0,0
2087,1966,9,19,1007.1,1011.3,2.0,1.0,0.7,18.1,19.0,16.7,91,87,0.0,0
2088,1966,9,20,1013.4,1017.6,0.0,0.0,0.0,21.2,25.2,18.0,73,54,9.0,0
2089,1966,9,21,1014.7,1018.8,0.0,0.0,0.0,22.4,26.9,17.1,68,48,10.3,0
2090,1966,9,22,1008.1,1012.3,2.5,2.0,1.0,22.5,25.9,19.4,76,70,1.6,0
2091,1966,9,23,1009.3,1013.5,0.6,0.6,0.4,21.4,25.0,19.4,67,47,1.8,0
2092,1966,9,24,1007.9,1012.1,72.5,14.5,6.0,17.0,19.9,16.0,85,67,0.0,0
2093,1966,9,25,995.7,999.7,30.0,17.5,5.0,27.1,29.6,17.1,76,67,5.3,0
2094,1966,9,26,998.2,1002.3,0.0,0.0,0.0,24.8,27.7,22.0,77,65,7.1,0
2095,1966,9,27,1000.6,1004.7,0.0,0.0,0.0,22.3,25.9,20.4,66,58,2.8,0
2096,1966,9,28,1002.4,1006.5,0.4,0.4,0.1,20.5,24.0,18.2,62,48,3.2,0
2097,1966,9,29,1010.4,1014.6,0.0,0.0,0.0,20.2,25.5,14.6,52,36,7.0,0
2098,1966,9,30,1015.8,1020.0,0.0,0.0,0.0,19.8,24.4,15.6,60,50,6.1,0
2099,1966,10,1,1016.2,1020.4,0.0,0.0,0.0,21.0,25.7,16.0,67,53,6.0,0
2100,1966,10,2,1011.3,1015.5,52.0,11.0,4.0,17.5,20.3,16.5,87,77,0.0,0
2101,1966,10,3,1008.8,1013.0,0.6,0.6,0.5,19.8,22.4,17.2,82,73,0.5,0
2102,1966,10,4,1011.1,1015.3,8.0,4.0,2.5,21.5,26.7,18.0,66,40,7.4,0
2103,1966,10,5,1018.7,1022.9,0.2,0.2,0.2,18.9,22.1,16.3,61,48,4.9,0
2104,1966,10,6,1024.4,1028.7,0.0,0.0,0.0,16.5,19.9,13.9,57,46,8.1,0
2105,1966,10,7,1022.6,1026.8,0.0,0.0,0.0,17.8,22.2,13.9,57,41,5.4,0
2106,1966,10,8,1016.9,1021.2,0.0,0.0,0.0,19.2,24.0,14.0,63,50,6.6,0
2107,1966,10,9,1014.1,1018.2,0.0,0.0,0.0,20.1,24.4,17.5,66,46,2.9,0
2108,1966,10,10,1014.4,1018.6,0.0,0.0,0.0,20.3,24.9,16.1,69,50,6.9,0
2109,1966,10,11,1013.5,1017.7,0.0,0.0,0.0,20.9,24.0,18.0,68,56,3.0,0
2110,1966,10,12,1009.3,1013.5,3.0,1.5,1.0,20.6,23.3,18.5,69,59,1.5,0
2111,1966,10,13,1000.6,1004.7,24.5,17.0,5.5,20.9,25.1,16.6,69,49,9.5,0
2112,1966,10,14,1002.7,1006.9,0.0,0.0,0.0,20.9,25.2,16.8,71,52,5.3,0
2113,1966,10,15,1005.9,1010.1,0.0,0.0,0.0,20.4,22.9,17.5,74,59,1.4,0
2114,1966,10,16,1006.1,1010.3,0.7,0.7,0.4,20.7,24.4,17.5,70,56,7.6,0
2115,1966,10,17,1005.8,1010.0,0.0,0.0,0.0,18.9,22.5,16.2,65,50,2.7,0
2116,1966,10,18,1003.6,1007.7,0.0,0.0,0.0,18.9,23.6,14.3,59,30,10.1,0
2117,1966,10,19,1006.3,1010.5,0.0,0.0,0.0,18.1,22.4,12.7,54,34,9.9,0
2118,1966,10,20,1009.5,1013.8,0.0,0.0,0.0,18.1,23.0,12.2,53,32,9.9,0
2119,1966,10,21,1010.7,1015.0,0.0,0.0,0.0,17.1,21.9,13.3,52,27,9.3,0
2120,1966,10,22,1016.6,1020.8,0.0,0.0,0.0,17.7,22.8,12.1,42,29,9.4,0
2121,1966,10,23,1019.9,1024.2,0.0,0.0,0.0,16.9,20.4,13.0,51,38,7.3,0
2122,1966,10,24,1021.2,1025.5,0.0,0.0,0.0,17.0,21.9,12.1,57,37,6.8,0
2123,1966,10,25,1019.1,1023.4,0.0,0.0,0.0,18.4,23.1,12.3,65,44,7.4,0
2124,1966,10,26,1016.0,1020.3,6.0,3.5,3.5,17.8,19.1,16.3,81,71,0.0,0
2125,1966,10,27,1011.4,1015.6,10.5,3.5,2.0,18.3,19.2,16.8,84,76,0.0,0
2126,1966,10,28,998.9,1003.0,3.0,2.5,1.0,19.6,22.3,17.7,82,64,0.0,0
2127,1966,10,29,1002.4,1006.5,0.0,0.0,0.0,16.6,21.0,12.8,61,32,9.1,0
2128,1966,10,30,1006.1,1010.4,0.0,0.0,0.0,16.5,20.8,11.0,57,43,7.8,0
2129,1966,10,31,1011.5,1015.7,0.0,0.0,0.0,18.1,22.9,12.6,60,39,9.0,0
2130,1966,11,1,1008.0,1012.2,0.0,0.0,0.0,17.8,21.9,12.2,65,48,6.7,0
2131,1966,11,2,1007.5,1011.8,0.0,0.0,0.0,17.4,21.0,14.2,48,35,5.0,0
2132,1966,11,3,1011.3,1015.6,0.0,0.0,0.0,13.6,18.0,10.0,41,30,7.0,0
2133,1966,11,4,1018.2,1022.5,0.0,0.0,0.0,13.3,17.4,8.4,49,37,8.5,0
2134,1966,11,5,1019.6,1023.9,0.9,0.9,0.4,14.3,18.5,10.8,67,54,0.9,0
2135,1966,11,6,1017.1,1021.4,0.0,0.0,0.0,15.4,20.1,9.7,62,52,7.8,0
2136,1966,11,7,1010.2,1014.4,0.0,0.0,0.0,18.9,24.4,14.2,67,48,6.9,0
2137,1966,11,8,1015.2,1019.4,0.0,0.0,0.0,17.8,21.9,14.1,61,49,6.4,0
2138,1966,11,9,1014.3,1018.6,0.0,0.0,0.0,17.1,19.3,14.6,68,60,0.0,0
2139,1966,11,10,1008.9,1013.2,0.0,0.0,0.0,17.0,20.6,13.3,69,49,5.6,0
2140,1966,11,11,1013.2,1017.5,0.0,0.0,0.0,16.9,21.3,13.2,48,29,7.3,0
2141,1966,11,12,1022.5,1026.8,0.0,0.0,0.0,13.7,16.6,11.3,55,41,2.7,0
2142,1966,11,13,1016.7,1021.1,6.5,4.5,2.0,11.6,15.1,8.8,78,53,2.6,0
2143,1966,11,14,997.6,1001.7,0.0,0.0,0.0,19.4,24.9,13.1,64,41,2.7,0
2144,1966,11,15,1013.2,1017.6,0.7,0.7,0.5,11.6,15.9,8.8,39,28,5.9,0
2145,1966,11,16,1021.1,1025.5,0.4,0.4,0.4,8.9,10.9,5.9,57,46,0.0,0
2146,1966,11,17,1009.6,1014.0,1.5,1.0,0.4,11.2,13.9,8.4,73,56,0.0,0
2147,1966,11,18,1010.4,1014.7,0.0,0.0,0.0,13.9,18.0,10.3,60,40,2.8,0
2148,1966,11,19,1009.6,1013.9,0.0,0.0,0.0,12.8,16.7,10.3,66,56,2.0,0
2149,1966,11,20,1005.9,1010.2,0.0,0.0,0.0,12.1,20.2,7.2,62,31,6.9,0
2150,1966,11,21,1003.4,1007.7,0.0,0.0,0.0,10.2,17.5,5.9,44,17,6.6,0
2151,1966,11,22,1015.7,1020.1,0.0,0.0,0.0,7.1,11.8,3.3,36,23,8.9,0
2152,1966,11,23,1022.4,1026.9,0.0,0.0,0.0,6.5,9.7,2.1,51,40,1.2,0
2153,1966,11,24,1019.9,1024.3,0.0,0.0,0.0,9.9,15.3,3.4,54,38,6.8,0
2154,1966,11,25,1005.9,1010.2,14.5,13.0,4.0,14.3,20.3,6.1,63,47,4.4,0
2155,1966,11,26,1009.7,1014.1,0.0,0.0,0.0,8.7,14.3,5.0,37,28,5.3,0
2156,1966,11,27,1022.9,1027.4,0.0,0.0,0.0,7.3,11.2,3.9,47,37,7.5,0
2157,1966,11,28,1020.2,1024.7,0.0,0.0,0.0,8.3,13.4,2.6,53,40,4.4,0
2158,1966,11,29,1010.3,1014.7,0.0,0.0,0.0,10.1,13.9,7.2,57,43,0.0,0
2159,1966,11,30,1002.8,1007.2,4.5,1.5,1.0,8.7,10.1,6.5,75,64,0.0,0
2160,1966,12,1,1008.5,1012.9,0.0,0.0,0.0,7.7,11.0,4.1,35,27,4.1,0
2161,1966,12,2,1015.9,1020.4,0.0,0.0,0.0,6.0,10.2,1.3,50,35,6.9,0
2162,1966,12,3,1019.3,1023.7,0.0,0.0,0.0,6.7,11.8,1.5,47,28,7.8,0
2163,1966,12,4,1019.1,1023.6,0.0,0.0,0.0,6.8,10.9,4.0,56,43,1.0,0
2164,1966,12,5,1012.9,1017.3,0.0,0.0,0.0,6.6,9.6,2.1,59,49,0.0,0
2165,1966,12,6,1010.7,1015.1,0.0,0.0,0.0,10.3,14.9,5.1,50,32,5.4,0
2166,1966,12,7,1016.6,1021.0,0.0,0.0,0.0,8.9,13.0,4.5,41,29,6.5,0
2167,1966,12,8,1011.8,1016.3,0.0,0.0,0.0,8.2,11.9,3.9,52,43,6.1,0
2168,1966,12,9,1003.5,1007.8,0.0,0.0,0.0,9.0,15.3,3.9,47,28,7.1,0
2169,1966,12,10,1007.5,1011.9,0.0,0.0,0.0,6.6,10.0,4.1,48,40,3.0,0
2170,1966,12,11,1009.6,1014.0,0.0,0.0,0.0,6.6,11.9,1.6,50,33,7.9,0
2171,1966,12,12,1006.8,1011.2,0.0,0.0,0.0,5.7,9.5,3.0,51,34,2.9,0
2172,1966,12,13,996.3,1000.7,0.0,0.0,0.0,5.2,9.4,1.6,42,27,7.9,0
2173,1966,12,14,1008.0,1012.4,0.0,0.0,0.0,3.8,7.4,0.1,39,26,8.9,0
2174,1966,12,15,1017.3,1021.8,0.0,0.0,0.0,6.1,10.9,0.9,38,25,7.6,0
2175,1966,12,16,1011.6,1016.0,0.0,0.0,0.0,5.0,8.2,1.8,48,39,0.0,0
2176,1966,12,17,1014.2,1018.6,0.0,0.0,0.0,7.6,13.2,1.6,52,36,8.0,0
2177,1966,12,18,1018.1,1022.5,0.0,0.0,0.0,8.2,13.7,2.6,50,30,5.8,0
2178,1966,12,19,1013.9,1018.3,8.0,3.5,1.0,9.2,12.9,5.0,61,48,3.0,0
2179,1966,12,20,1005.5,1009.8,0.0,0.0,0.0,10.1,15.3,6.2,50,35,7.2,0
2180,1966,12,21,1014.0,1018.4,0.0,0.0,0.0,6.5,8.2,5.0,43,34,0.0,0
2181,1966,12,22,1011.8,1016.2,0.0,0.0,0.0,7.0,11.9,2.2,53,40,6.0,0
2182,1966,12,23,1015.4,1019.8,0.0,0.0,0.0,6.8,8.3,4.8,49,44,1.5,0
2183,1966,12,24,1008.9,1013.3,0.0,0.0,0.0,8.3,14.0,2.4,58,35,8.0,0
2184,1966,12,25,1007.9,1012.3,0.0,0.0,0.0,5.7,7.5,3.5,50,32,0.0,0
2185,1966,12,26,1004.5,1008.9,0.0,0.0,0.0,4.5,7.4,2.1,42,30,3.3,0
2186,1966,12,27,1006.4,1010.8,0.0,0.0,0.0,2.8,7.7,0.5,45,23,7.6,0
2187,1966,12,28,1015.9,1020.4,0.0,0.0,0.0,3.4,7.9,-1.9,34,20,8.2,0
2188,1966,12,29,1020.4,1025.0,0.0,0.0,0.0,3.8,8.4,-0.1,41,24,8.5,0
2189,1966,12,30,1023.7,1028.2,0.0,0.0,0.0,5.1,9.5,0.4,37,27,7.8,0
2190,1966,12,31,1021.9,1026.4,0.0,0.0,0.0,5.2,9.0,1.9,51,40,4.2,0
3652,1971,1,1,1014.1,1018.5,0.0,0.0,0.0,6.4,10.5,3.7,46,30,7.5,0
3653,1971,1,2,1016.7,1021.2,0.0,0.0,0.0,5.6,9.9,2.2,45,31,8.8,0
3654,1971,1,3,1017.4,1022.0,3.0,1.0,0.5,1.0,3.1,-0.1,69,47,0.0,0
3655,1971,1,4,1001.0,1005.5,2.0,1.0,0.5,2.8,6.1,-0.4,91,73,2.1,0
3656,1971,1,5,1002.1,1006.6,8.0,5.0,1.5,2.5,6.5,-0.3,65,38,5.8,0
3657,1971,1,6,1015.5,1020.0,0.0,0.0,0.0,2.8,7.0,-1.5,48,35,8.1,0
3658,1971,1,7,1011.5,1015.9,0.0,0.0,0.0,5.1,10.1,0.3,49,35,7.1,0
3659,1971,1,8,1009.5,1013.9,0.0,0.0,0.0,5.2,8.0,2.7,50,38,1.0,0
3660,1971,1,9,1014.4,1018.9,0.0,0.0,0.0,3.9,7.1,1.5,49,37,7.2,0
3661,1971,1,10,1023.0,1027.5,0.0,0.0,0.0,2.5,6.4,-2.0,50,36,8.1,0
3662,1971,1,11,1019.0,1023.5,0.0,0.0,0.0,3.0,8.4,-2.2,55,43,6.4,0
3663,1971,1,12,1014.7,1019.2,0.0,0.0,0.0,6.4,12.7,-0.4,52,31,7.9,0
3664,1971,1,13,1007.5,1011.9,0.0,0.0,0.0,7.3,11.0,5.1,66,59,2.5,0
3665,1971,1,14,1002.7,1007.1,0.0,0.0,0.0,6.8,11.0,4.0,43,29,9.0,0
3666,1971,1,15,1009.0,1013.4,0.0,0.0,0.0,5.4,8.6,2.6,51,39,2.5,0
3667,1971,1,16,1006.2,1010.6,0.0,0.0,0.0,5.4,11.6,0.7,49,25,7.7,0
3668,1971,1,17,1011.7,1016.1,0.0,0.0,0.0,6.7,9.9,4.3,33,26,8.6,0
3669,1971,1,18,1012.0,1016.4,0.0,0.0,0.0,8.7,13.5,4.9,33,22,7.4,0
3670,1971,1,19,1014.8,1019.3,0.0,0.0,0.0,7.7,11.8,4.8,36,30,7.6,0
3671,1971,1,20,1016.2,1020.7,0.0,0.0,0.0,6.4,9.1,3.1,47,37,6.6,0
3672,1971,1,21,1005.8,1010.2,16.0,3.0,1.0,4.4,6.7,2.4,81,55,0.0,0
3673,1971,1,22,995.2,999.5,3.0,2.0,1.0,8.8,13.0,5.6,68,43,0.0,0
3674,1971,1,23,1003.8,1008.2,0.0,0.0,0.0,4.7,8.0,2.6,35,27,7.5,0
3675,1971,1,24,1010.8,1015.3,0.0,0.0,0.0,4.5,9.3,1.7,30,21,6.9,0
3676,1971,1,25,1008.0,1012.4,0.0,0.0,0.0,6.8,11.2,1.8,39,32,3.0,0
3677,1971,1,26,1005.5,1009.9,0.0,0.0,0.0,5.9,10.5,1.5,40,26,4.1,0
3678,1971,1,27,1008.8,1013.2,0.0,0.0,0.0,4.4,8.3,0.7,44,27,7.3,0
3679,1971,1,28,1008.1,1012.5,0.0,0.0,0.0,4.4,9.7,0.1,42,25,8.5,0
3680,1971,1,29,1010.8,1015.3,0.0,0.0,0.0,5.0,8.6,0.6,32,22,8.0,0
3681,1971,1,30,1003.6,1008.0,0.0,0.0,0.0,4.1,9.7,1.3,44,20,5.1,0
3682,1971,1,31,1003.1,1007.5,0.0,0.0,0.0,4.2,9.4,0.6,38,24,9.3,0
3683,1971,2,1,1003.6,1008.0,0.0,0.0,0.0,4.1,8.3,-1.2,35,22,6.8,0
3684,1971,2,2,1005.9,1010.4,0.0,0.0,0.0,3.6,7.9,-0.9,44,30,7.9,0
3685,1971,2,3,1002.5,1006.9,0.0,0.0,0.0,4.2,8.1,-0.6,52,29,7.8,0
3686,1971,2,4,1000.7,1005.1,0.0,0.0,0.0,4.5,9.6,0.8,53,17,7.7,0
3687,1971,2,5,1003.6,1008.0,0.0,0.0,0.0,5.2,11.2,-1.5,38,17,7.7,0
3688,1971,2,6,1009.2,1013.7,0.0,0.0,0.0,5.3,10.0,1.4,37,21,6.8,0
3689,1971,2,7,1010.9,1015.3,0.0,0.0,0.0,4.1,7.6,0.3,42,28,8.0,0
3690,1971,2,8,1011.2,1015.6,0.0,0.0,0.0,5.3,9.4,0.6,38,20,8.3,0
3691,1971,2,9,1007.7,1012.1,0.0,0.0,0.0,4.3,10.0,-0.7,37,20,7.6,0
3692,1971,2,10,1011.5,1015.9,0.0,0.0,0.0,3.0,7.7,-1.4,39,19,9.4,0
3693,1971,2,11,1021.1,1025.6,0.0,0.0,0.0,3.6,8.4,-1.0,37,22,9.1,0
3694,1971,2,12,1024.2,1028.8,0.0,0.0,0.0,3.2,6.2,-0.5,56,43,0.5,0
3695,1971,2,13,1015.9,1020.5,4.0,1.5,0.5,4.1,7.7,0.8,89,73,1.1,0
3696,1971,2,14,1019.0,1023.5,0.0,0.0,0.0,7.0,10.4,2.9,51,35,8.8,0
3697,1971,2,15,1011.2,1015.6,11.0,3.0,1.0,3.5,6.6,1.7,91,58,0.0,0
3698,1971,2,16,1018.0,1022.4,0.0,0.0,0.0,9.3,14.6,1.9,56,28,9.6,0
3699,1971,2,17,1014.3,1018.8,11.5,4.0,1.5,7.5,10.6,5.3,87,61,0.0,0
3700,1971,2,18,1005.2,1009.5,0.0,0.0,0.0,9.8,14.6,6.6,57,32,6.9,0
3701,1971,2,19,1011.5,1015.9,0.0,0.0,0.0,6.9,11.4,4.0,33,18,5.9,0
3702,1971,2,20,1021.6,1026.1,0.0,0.0,0.0,5.7,9.7,2.5,38,22,9.2,0
3703,1971,2,21,1023.6,1028.1,0.0,0.0,0.0,7.0,12.6,0.4,51,38,9.0,0
3704,1971,2,22,1013.4,1017.9,0.0,0.0,0.0,8.6,12.5,6.0,61,47,0.3,0
3705,1971,2,23,1004.2,1008.6,4.5,1.5,0.5,8.4,10.1,6.6,100,88,0.0,0
3706,1971,2,24,1008.4,1012.8,0.0,0.0,0.0,7.7,10.9,3.9,38,27,2.6,0
3707,1971,2,25,1020.8,1025.3,0.0,0.0,0.0,4.4,6.2,2.4,42,32,0.0,0
3708,1971,2,26,1018.2,1022.7,4.0,1.5,0.5,4.0,5.0,2.0,84,51,0.0,0
3709,1971,2,27,1009.9,1014.3,3.0,1.5,0.5,10.7,16.2,4.9,87,48,5.0,0
3710,1971,2,28,1013.9,1018.4,0.0,0.0,0.0,8.9,12.2,6.3,44,29,2.9,0
3711,1971,3,1,1016.6,1021.1,0.0,0.0,0.0,6.1,8.8,4.0,58,44,1.7,0
3712,1971,3,2,1014.2,1018.7,0.0,0.0,0.0,8.8,13.4,3.6,44,28,7.5,0
3713,1971,3,3,997.3,1001.6,19.5,8.5,1.5,7.3,9.1,6.1,85,47,0.0,0
3714,1971,3,4,995.9,1000.2,0.0,0.0,0.0,6.7,10.7,3.9,35,22,9.6,0
3715,1971,3,5,1002.8,1007.2,0.0,0.0,0.0,5.8,10.6,2.3,27,18,10.4,0
3716,1971,3,6,1006.4,1010.8,0.0,0.0,0.0,4.4,9.4,1.2,35,21,8.9,0
3717,1971,3,7,1008.0,1012.4,0.0,0.0,0.0,1.9,6.1,-0.6,34,22,10.7,0
3718,1971,3,8,1012.1,1016.5,0.0,0.0,0.0,3.5,8.2,-0.9,28,17,9.2,0
3719,1971,3,9,1013.2,1017.6,0.0,0.0,0.0,4.8,10.2,-0.5,38,23,9.3,0
3720,1971,3,10,1016.2,1020.7,0.0,0.0,0.0,3.5,8.6,0.4,51,25,6.4,0
3721,1971,3,11,1022.0,1026.5,0.0,0.0,0.0,4.7,8.8,-0.5,31,19,10.0,0
3722,1971,3,12,1021.9,1026.4,0.0,0.0,0.0,4.9,8.9,1.1,49,37,0.4,0
3723,1971,3,13,1013.9,1018.4,0.0,0.0,0.0,6.3,11.4,2.5,63,35,4.3,0
3724,1971,3,14,1012.2,1016.6,0.0,0.0,0.0,5.4,10.3,0.9,55,18,9.2,0
3725,1971,3,15,1015.7,1020.1,0.0,0.0,0.0,6.8,10.7,1.6,35,18,10.7,0
3726,1971,3,16,1009.7,1014.0,0.0,0.0,0.0,8.5,15.0,1.3,46,32,10.0,0
3727,1971,3,17,1010.0,1014.3,0.0,0.0,0.0,9.8,14.8,5.6,37,21,10.1,0
3728,1971,3,18,1011.4,1015.8,0.0,0.0,0.0,9.1,13.1,5.4,51,29,4.0,0
3729,1971,3,19,1003.4,1007.7,0.0,0.0,0.0,11.9,18.3,5.6,56,23,9.8,0
3730,1971,3,20,1008.4,1012.8,0.0,0.0,0.0,12.3,17.6,6.9,49,34,4.9,0
3731,1971,3,21,1007.5,1011.8,0.0,0.0,0.0,13.2,17.9,7.7,70,53,6.6,0
3732,1971,3,22,1005.7,1010.0,0.0,0.0,0.0,13.4,19.5,9.8,61,41,5.2,0
3733,1971,3,23,1009.9,1014.3,9.5,1.5,0.5,5.0,10.7,2.4,76,44,0.0,0
3734,1971,3,24,1014.5,1019.0,0.0,0.0,0.0,5.0,9.7,1.2,47,29,9.7,0
3735,1971,3,25,1016.7,1021.2,0.0,0.0,0.0,7.8,12.1,3.2,51,34,8.7,0
3736,1971,3,26,1014.2,1018.5,0.0,0.0,0.0,11.4,16.4,4.0,61,43,4.7,0
3737,1971,3,27,1006.2,1010.4,11.0,7.0,2.0,14.5,19.6,10.0,75,32,5.5,0
3738,1971,3,28,1016.4,1020.7,0.0,0.0,0.0,14.2,18.8,9.5,53,41,6.9,0
3739,1971,3,29,1010.5,1014.8,0.0,0.0,0.0,16.1,20.4,10.2,63,46,8.9,0
3740,1971,3,30,1009.8,1014.1,9.0,2.5,0.5,14.7,18.6,10.5,87,66,0.0,1
3741,1971,3,31,1011.7,1016.1,18.5,3.0,1.0,9.6,10.9,9.0,100,100,0.0,0
3742,1971,4,1,1003.9,1008.2,12.5,3.5,1.5,12.5,16.4,9.4,94,75,0.3,0
3743,1971,4,2,1009.2,1013.6,0.0,0.0,0.0,14.4,16.8,11.0,86,72,0.0,0
3744,1971,4,3,1016.1,1020.5,0.0,0.0,0.0,9.7,14.0,6.9,66,54,0.0,0
3745,1971,4,4,1015.2,1019.6,0.0,0.0,0.0,8.5,11.7,6.3,75,62,1.9,0
3746,1971,4,5,1013.7,1018.0,0.0,0.0,0.0,12.5,18.6,5.5,65,41,10.1,0
3747,1971,4,6,1007.6,1011.9,1.0,0.5,0.5,13.6,18.2,10.3,67,37,3.7,0
3748,1971,4,7,1017.6,1022.0,0.0,0.0,0.0,10.9,15.6,7.3,41,30,11.0,0
3749,1971,4,8,1017.5,1021.9,0.0,0.0,0.0,12.8,16.1,8.9,67,58,0.8,0
3750,1971,4,9,1002.8,1007.0,7.0,4.0,1.5,15.8,18.4,12.4,80,69,0.3,0
3751,1971,4,10,1006.3,1010.7,0.0,0.0,0.0,11.4,14.9,8.3,60,26,1.6,0
3752,1971,4,11,1016.3,1020.6,0.5,0.5,0.5,10.9,16.7,7.1,48,17,10.6,0
3753,1971,4,12,1023.6,1027.9,0.0,0.0,0.0,11.8,17.1,5.3,52,38,11.5,0
3754,1971,4,13,1020.3,1024.6,0.0,0.0,0.0,14.3,18.4,8.2,63,48,11.3,0
3755,1971,4,14,1012.8,1017.1,0.0,0.0,0.0,15.8,19.1,9.4,62,50,8.0,0
3756,1971,4,15,1015.1,1019.4,0.0,0.0,0.0,13.5,16.0,11.0,64,58,0.0,0
3757,1971,4,16,1018.8,1023.1,7.0,3.0,1.0,12.7,16.2,9.9,68,48,2.2,0
3758,1971,4,17,1009.2,1013.6,13.0,2.5,1.0,11.6,12.5,10.3,92,83,0.0,0
3759,1971,4,18,1010.4,1014.8,0.0,0.0,0.0,12.0,15.9,9.6,51,25,6.0,0
3760,1971,4,19,1010.5,1014.8,0.0,0.0,0.0,12.4,17.2,6.0,60,34,10.6,0
3761,1971,4,20,1006.6,1010.9,0.0,0.0,0.0,14.3,19.2,8.4,64,41,10.5,0
3762,1971,4,21,1010.5,1014.8,0.0,0.0,0.0,17.3,23.3,10.0,61,24,11.1,0
3763,1971,4,22,1004.4,1008.7,19.0,4.0,1.0,14.4,16.5,13.0,83,65,0.0,0
3764,1971,4,23,1003.3,1007.5,0.0,0.0,0.0,17.9,25.9,11.0,49,19,11.0,0
3765,1971,4,24,1007.3,1011.6,0.0,0.0,0.0,15.4,18.5,12.0,48,17,6.7,0
3766,1971,4,25,1007.6,1011.9,0.0,0.0,0.0,16.5,22.4,11.1,32,13,10.3,0
3767,1971,4,26,1009.1,1013.4,0.0,0.0,0.0,16.3,20.1,11.8,70,37,2.0,0
3768,1971,4,27,1012.7,1016.9,0.0,0.0,0.0,15.7,22.9,11.6,26,10,11.3,0
3769,1971,4,28,1017.1,1021.5,3.0,3.5,1.0,13.3,17.9,8.1,59,32,8.0,0
3770,1971,4,29,1006.1,1010.4,71.0,12.0,4.5,12.9,14.7,11.0,92,79,0.0,0
3771,1971,4,30,1004.2,1008.4,0.0,0.0,0.0,15.1,19.7,11.1,61,45,3.7,0
3772,1971,5,1,1010.9,1015.2,0.0,0.0,0.0,13.6,19.4,9.9,69,44,8.4,0
3773,1971,5,2,1012.8,1017.1,0.0,0.0,0.0,12.9,15.8,11.5,73,68,0.0,0
3774,1971,5,3,1012.6,1016.9,0.0,0.0,0.0,14.1,20.4,9.4,61,30,8.5,0
3775,1971,5,4,1006.0,1010.3,16.0,6.0,1.5,12.6,15.7,10.8,85,60,0.0,0
3776,1971,5,5,1003.7,1007.9,0.0,0.0,0.0,16.3,22.1,12.3,46,26,10.2,0
3777,1971,5,6,1007.4,1011.8,35.5,4.5,1.0,11.6,14.3,10.0,83,60,0.0,0
3778,1971,5,7,1002.2,1006.4,16.5,5.0,1.0,13.7,19.8,9.8,78,42,5.3,0
3779,1971,5,8,1008.2,1012.5,3.0,2.0,1.5,13.8,16.6,12.3,74,52,3.9,0
3780,1971,5,9,1017.1,1021.4,0.0,0.0,0.0,13.2,17.6,10.3,58,47,9.9,0
3781,1971,5,10,1017.8,1022.1,0.0,0.0,0.0,15.5,20.4,10.5,58,33,11.6,0
3782,1971,5,11,1015.3,1019.5,0.0,0.0,0.0,17.2,21.0,11.8,67,55,11.5,0
3783,1971,5,12,1015.0,1019.2,0.0,0.0,0.0,19.6,25.8,14.2,71,49,11.1,0
3784,1971,5,13,1011.8,1016.0,0.0,0.0,0.0,18.5,23.2,15.1,71,49,9.4,0
3785,1971,5,14,1009.1,1013.3,0.0,0.0,0.0,19.4,23.2,15.5,64,47,9.9,0
3786,1971,5,15,1008.2,1012.4,0.0,0.0,0.0,18.6,23.4,15.5,68,51,3.4,0
3787,1971,5,16,1004.1,1008.2,0.0,0.0,0.0,19.3,23.9,14.8,72,54,6.9,0
3788,1971,5,17,1002.6,1006.7,0.0,0.0,0.0,20.6,25.7,15.8,66,46,11.0,0
3789,1971,5,18,1010.3,1014.5,0.0,0.0,0.0,18.6,20.6,16.5,49,32,1.8,0
3790,1971,5,19,1007.1,1011.4,14.5,2.5,0.5,15.5,17.8,14.3,80,66,0.0,0
3791,1971,5,20,1002.9,1007.1,4.0,2.5,1.5,17.9,23.1,14.0,74,52,5.8,0
3792,1971,5,21,1004.4,1008.6,0.0,0.0,0.0,19.7,23.9,14.0,68,36,11.9,0
3793,1971,5,22,1009.8,1013.9,0.0,0.0,0.0,20.5,24.7,16.3,59,40,10.0,0
3794,1971,5,23,1014.8,1019.0,0.0,0.0,0.0,19.3,22.1,17.6,67,62,0.0,0
3795,1971,5,24,1008.9,1013.1,6.0,2.0,0.5,17.1,18.4,16.1,87,77,0.0,0
3796,1971,5,25,998.1,1002.1,0.5,0.5,0.5,20.8,23.8,16.5,77,62,1.5,0
3797,1971,5,26,1008.1,1012.3,0.0,0.0,0.0,22.8,28.8,16.3,53,29,12.3,0
3798,1971,5,27,1008.0,1012.2,3.5,2.0,1.0,18.6,22.8,15.8,72,53,0.0,0
3799,1971,5,28,1002.2,1006.3,7.5,3.0,1.0,20.3,25.7,16.0,80,60,0.5,0
3800,1971,5,29,1007.4,1011.6,3.0,2.0,1.0,18.9,22.0,17.3,74,61,0.2,0
